document_id,title,authors,year,venue,doi,source_url,category,priority,include_in_knowledge_base,researcher_approved,technical_extraction_status,original_filename,canonical_filename,canonical_relative_path,sha256,file_size_bytes,page_count,why_needed,recommended_content,notes
SRS-03,Deep reinforcement learning method for satellite range scheduling problem,Junwei Ou; Lining Xing; Feng Yao; Mengjun Li; Jimin Lv; Yongming He; Yanjie Song; Jian Wu; Guoting Zhang,2023,Swarm and Evolutionary Computation,10.1016/j.swevo.2023.101233,https://doi.org/10.1016/j.swevo.2023.101233,satellite_scheduling,A级核心,True,True,pending_technical_check,Deep reinforcement learning method for satellite range scheduling problem.pdf,drl_srsp_2023.pdf,raw\satellite_scheduling\drl_srsp_2023.pdf,bdbffa2e8d568f0bf287efe85232c5a62ff59f54e4de8d8f3b6683ead41c661a,1441836,,与当前复现最直接相关的DRL-SRSP工作；包含任务分配与单天线调度分解,数学模型、状态动作、奖励、分解框架、约束处理、实验指标,核心方法文献
RS-03,Dynamic Potential-Based Reward Shaping,Sam Devlin; Daniel Kudenko,2012,AAMAS 2012,,https://eprints.whiterose.ac.uk/75121/,reward_shaping,A级核心,True,True,pending_technical_check,Dynamic Potential-Based Reward Shaping.pdf,dynamic_pbrs_2012.pdf,raw\reward_shaping\dynamic_pbrs_2012.pdf,8bae9f99c634dcc139a2c480b3aca8e23b539c5327556ddac1eee6248741ff33,401992,,讨论势函数随学习动态变化时的理论条件,动态势函数、策略不变条件、自动生成塑形奖励的风险,与迭代奖励和Lyapunov势函数相关
RS-08,Eureka: Human-Level Reward Design via Coding Large Language Models,Yecheng Jason Ma; William Liang; Guanzhi Wang; De-An Huang; Osbert Bastani; Dinesh Jayaraman; Yuke Zhu; Linxi Fan; Anima Anandkumar,2023,ICLR 2024,10.48550/arXiv.2310.12931,https://arxiv.org/abs/2310.12931,reward_shaping,A级核心,True,True,pending_technical_check,Eureka  Human-Level Reward Design via Coding Large Language Models.pdf,eureka_2023.pdf,raw\reward_shaping\eureka_2023.pdf,aa3b6350a92e4e8b1d894d0879d0af72df2fe76b3fe5d9341151924cb5884f74,3896844,,通过多候选、训练反馈和迭代改进奖励，是当前5轮×8候选流程的重要参考,候选生成、外部适应度、反馈提示、奖励演化、多次训练评价,奖励搜索流程必选
SRS-08,High-altitude satellites range scheduling for urgent request utilizing reinforcement learning,Bo Ren; Zhicheng Zhu; Fan Yang; Tao Wu; Hui Yuan,2022,Open Astronomy,10.1515/astro-2022-0033,https://doi.org/10.1515/astro-2022-0033,satellite_scheduling,A级核心,True,True,pending_technical_check,High-altitude satellites range scheduling for urgent request utilizing reinforcement learning.pdf,urgent_srsp_rl_2022.pdf,raw\satellite_scheduling\urgent_srsp_rl_2022.pdf,c97c07fd17ea27bf3375e26f6c245d020c8e2f3f7479bbeaa804c2841f17b563,2192475,,专门讨论紧急请求、可选服务窗口和天线有效性,紧急任务、滑动窗口、天线有效性、Q-learning调度框架,与目标论文的紧急任务动机相关
SRS-04,Learning-guided nondominated sorting genetic algorithm II for multi-objective satellite range scheduling problem,Yanjie Song et al.,2019,Swarm and Evolutionary Computation,10.1016/j.swevo.2019.06.008,https://doi.org/10.1016/j.swevo.2019.06.008,satellite_scheduling,A级核心,True,True,pending_technical_check,Learning-guided nondominated sorting genetic algorithm II for multi-objective satellite range scheduling problem.pdf,lgnsgaii_srsp_2019.pdf,raw\satellite_scheduling\lgnsgaii_srsp_2019.pdf,119dc48c163dad616f3122c9a8450d26fb2117fffcb11678b5b4f7ff0c36728d,1763617,,提供多目标SRSP、任务时间窗选择、失败率与负载均衡知识,多目标建模、时间窗选择、负载均衡、冲突处理、评价指标,抽取模型和指标，不必保留算法伪代码全文
SRS-01,LLM-assisted Deep Reinforcement Learning for Satellite Range Scheduling,Ke Li; Mingying Yang; Jing Li; Bo Peng; Xumin Yu,2025,IEEE GLOBECOM 2025,10.1109/GLOBECOM59602.2025.11431680,https://doi.org/10.1109/GLOBECOM59602.2025.11431680,satellite_scheduling,A级核心,True,True,pending_technical_check,LLM-assisted Deep Reinforcement Learning for Satellite Range Scheduling.pdf,rappo_target_2025.pdf,raw\satellite_scheduling\rappo_target_2025.pdf,598e12bd0559be169547611bf6f35241dbe56496f6977d061737a32ff99cf68c,9678822,,目标论文；确定RAPPO框架、知识库类别、Top-k检索与奖励迭代流程,问题定义、RAPPO流程、知识库说明、奖励迭代、实验设置,项目核心论文
SRS-05,MOEA based memetic algorithms for multi-objective satellite range scheduling problem,Yonghao Du; Lining Xing; Jun Zhang; Yingwu Chen; Yongming He,2019,Swa+H6:N6rm and Evolutionary Computation,10.1016/j.swevo.2019.100576,https://doi.org/10.1016/j.swevo.2019.100576,satellite_scheduling,A级核心,True,True,pending_technical_check,MOEA based memetic algorithms for multi-objective satellite range scheduling problem.pdf,moea_ma_srsp_2019.pdf,raw\satellite_scheduling\moea_ma_srsp_2019.pdf,c2480811d117a4f0bf9e929798684dd6054aa4667cd87c9df736060159136a8c,3119176,,同时讨论请求失败率、天线负载均衡和问题专用冲突处理,目标函数、负载均衡、冲突修复、局部搜索中的领域知识,适合知识库中的约束和多目标部分
RS-04,Online learning of shaping rewards in reinforcement learning,Marek Grześ; Daniel Kudenko,2010,Neural Networks,10.1016/j.neunet.2010.01.001,https://doi.org/10.1016/j.neunet.2010.01.001,reward_shaping,A级核心,True,True,pending_technical_check,Online learning of shaping rewards in reinforcement learning.pdf,online_shaping_2010.pdf,raw\reward_shaping\online_shaping_2010.pdf,0108eded947c7524f0db28581130f16d320d56e33ec41ffa044edae53c9e14de,833391,,研究在缺少人工势函数时在线学习塑形奖励,在线势函数学习、收敛加速、模型式与无模型方法,与自动奖励优化动机相关
RS-01,Policy Invariance Under Reward Transformations: Theory and Application to Reward Shaping,Andrew Y. Ng; Daishi Harada; Stuart J. Russell,1999,ICML 1999,,https://www.cs.utexas.edu/~shivaram/readings/b2hd-NgHR1999.html,reward_shaping,A级核心,True,True,pending_technical_check,Policy Invariance Under Reward Transformations Theory and Application to Reward Shaping.pdf,pbrs_ng_1999.pdf,raw\reward_shaping\pbrs_ng_1999.pdf,f21720e09f874c7598b0e9954c571cf73a8c925397ae5e2631e7fe0e8814635d,366419,,PBRS理论基础；解释什么样的塑形不会改变最优策略,势函数形式、策略不变性、错误塑形示例、设计原则,奖励塑形知识库必选
SRS-02,Reviews and prospects in satellite range scheduling problem,Shuwei Li; Qingyun Yu; Hao Ding,2023,Autonomous Intelligent Systems,10.1007/s43684-023-00054-6,https://doi.org/10.1007/s43684-023-00054-6,satellite_scheduling,A级核心,True,True,pending_technical_check,Reviews and prospects in satellite range scheduling problem.pdf,srs_review_2023.pdf,raw\satellite_scheduling\srs_review_2023.pdf,d9294d31cefab9d53930c04b731b2b18752e0cd76c3bf21550ae19ae2f1efb91,2090160,,SRSP综述；适合构建问题定义、约束、目标和算法分类的基础知识,SRSP定义、三类建模方法、优化目标、约束、算法分类、未来方向,优先整篇入库，参考文献单独排除
