original_path,original_filename,matched_document_id,matched_title,suggested_filename,category,include_in_kb,match_method,match_score,second_best_score,status,reason,sha256
Deep reinforcement learning method for satellite range scheduling problem.pdf,Deep reinforcement learning method for satellite range scheduling problem.pdf,SRS-03,Deep reinforcement learning method for satellite range scheduling problem,drl_srsp_2023.pdf,卫星测距调度,是,exact_normalized,1.0,0.805556,matched,,bdbffa2e8d568f0bf287efe85232c5a62ff59f54e4de8d8f3b6683ead41c661a
Dynamic Potential-Based Reward Shaping.pdf,Dynamic Potential-Based Reward Shaping.pdf,RS-03,Dynamic Potential-Based Reward Shaping,dynamic_pbrs_2012.pdf,奖励塑形,是,exact_normalized,1.0,0.646154,matched,,8bae9f99c634dcc139a2c480b3aca8e23b539c5327556ddac1eee6248741ff33
Eureka  Human-Level Reward Design via Coding Large Language Models.pdf,Eureka  Human-Level Reward Design via Coding Large Language Models.pdf,RS-08,Eureka: Human-Level Reward Design via Coding Large Language Models,eureka_2023.pdf,LLM奖励设计,是,exact_normalized,1.0,0.489209,matched,,aa3b6350a92e4e8b1d894d0879d0af72df2fe76b3fe5d9341151924cb5884f74
High-altitude satellites range scheduling for urgent request utilizing reinforcement learning.pdf,High-altitude satellites range scheduling for urgent request utilizing reinforcement learning.pdf,SRS-08,High-altitude satellites range scheduling for urgent request utilizing reinforcement learning,urgent_srsp_rl_2022.pdf,卫星测距调度,是,exact_normalized,1.0,0.60733,matched,,c97c07fd17ea27bf3375e26f6c245d020c8e2f3f7479bbeaa804c2841f17b563
Learning-guided nondominated sorting genetic algorithm II for multi-objective satellite range scheduling problem.pdf,Learning-guided nondominated sorting genetic algorithm II for multi-objective satellite range scheduling problem.pdf,SRS-04,Learning-guided nondominated sorting genetic algorithm II for multi-objective satellite range scheduling problem,lgnsgaii_srsp_2019.pdf,卫星测距调度,是,exact_normalized,1.0,0.785714,matched,,119dc48c163dad616f3122c9a8450d26fb2117fffcb11678b5b4f7ff0c36728d
LLM-assisted Deep Reinforcement Learning for Satellite Range Scheduling.pdf,LLM-assisted Deep Reinforcement Learning for Satellite Range Scheduling.pdf,SRS-01,LLM-assisted Deep Reinforcement Learning for Satellite Range Scheduling,rappo_target_2025.pdf,卫星测距调度,是,exact_normalized,1.0,0.805556,matched,,598e12bd0559be169547611bf6f35241dbe56496f6977d061737a32ff99cf68c
MOEA based memetic algorithms for multi-objective satellite range scheduling problem.pdf,MOEA based memetic algorithms for multi-objective satellite range scheduling problem.pdf,SRS-05,MOEA based memetic algorithms for multi-objective satellite range scheduling problem,moea_ma_srsp_2019.pdf,卫星测距调度,是,exact_normalized,1.0,0.785714,matched,,c2480811d117a4f0bf9e929798684dd6054aa4667cd87c9df736060159136a8c
Online learning of shaping rewards in reinforcement learning.pdf,Online learning of shaping rewards in reinforcement learning.pdf,RS-04,Online learning of shaping rewards in reinforcement learning,online_shaping_2010.pdf,奖励塑形,是,exact_normalized,1.0,0.66129,matched,,0108eded947c7524f0db28581130f16d320d56e33ec41ffa044edae53c9e14de
Policy Invariance Under Reward Transformations Theory and Application to Reward Shaping.pdf,Policy Invariance Under Reward Transformations Theory and Application to Reward Shaping.pdf,RS-01,Policy Invariance Under Reward Transformations: Theory and Application to Reward Shaping,pbrs_ng_1999.pdf,奖励塑形,是,exact_normalized,1.0,0.421053,matched,,f21720e09f874c7598b0e9954c571cf73a8c925397ae5e2631e7fe0e8814635d
Reviews and prospects in satellite range scheduling problem.pdf,Reviews and prospects in satellite range scheduling problem.pdf,SRS-02,Reviews and prospects in satellite range scheduling problem,srs_review_2023.pdf,卫星测距调度,是,exact_normalized,1.0,0.681818,matched,,d9294d31cefab9d53930c04b731b2b18752e0cd76c3bf21550ae19ae2f1efb91
Space division and adaptive selection strategy based differential evolution algorithm for multi-objective satellite range scheduling problem.pdf,Space division and adaptive selection strategy based differential evolution algorithm for multi-objective satellite range scheduling problem.pdf,SRS-06,Space division and adaptive selection strategy based differential evolution algorithm for multi-objective satellite range scheduling problem,mode_sdas_srsp_2023.pdf,卫星测距调度,是,exact_normalized,1.0,0.6875,matched,,c9a2384b3a7dc6afc4dd658169ca8ffc0186bc2856e20df71c6be6bbf710c6e3
Text2Reward  Reward Shaping with Language Models for Reinforcement Learning.pdf,Text2Reward  Reward Shaping with Language Models for Reinforcement Learning.pdf,RS-07,Text2Reward: Reward Shaping with Language Models for Reinforcement Learning,text2reward_2023.pdf,LLM奖励设计,是,exact_normalized,1.0,0.666667,matched,,9342545d956dcab378939498cda0f7225a361ff33ded446f8e3c77668a4fea1d
"The Surprising Effectiveness of PPO in Cooperative, Multi-Agent Games.pdf","The Surprising Effectiveness of PPO in Cooperative, Multi-Agent Games.pdf",RS-06,"The Surprising Effectiveness of PPO in Cooperative, Multi-Agent Games",mappo_2021.pdf,多智能体强化学习,否,exact_normalized,1.0,0.486842,matched,,3de7db922d915b4e6d7b3a05b07163a6eeaa5bf0d56fca019eef044b469686ff
Theoretical Considerations of Potential-Based Reward Shaping for Multi-Agent Systems.pdf,Theoretical Considerations of Potential-Based Reward Shaping for Multi-Agent Systems.pdf,RS-02,Theoretical Considerations of Potential-Based Reward Shaping for Multi-Agent Systems,pbrs_multiagent_2011.pdf,奖励塑形,是,exact_normalized,1.0,0.619883,matched,,95ca3f88b55f257c930012b514617faefca952c47fc0933b239f23b026ac5f2b
UHTS-DRL A deep reinforcement learning framework for integrated agile satellite observation and data transmission scheduling.pdf,UHTS-DRL A deep reinforcement learning framework for integrated agile satellite observation and data transmission scheduling.pdf,SRS-12,UHTS-DRL: A deep reinforcement learning framework for integrated agile satellite observation and data transmission scheduling,uhts_drl_2026.pdf,卫星任务调度,是,exact_normalized,1.0,0.615385,matched,,f4cd6b8448264944b7ff4305a6debba8312ecadb1699c354d49a7fbe8bca70ac
